title,artists,entry_1,entry_2,entry_3,weeks_1,weeks_2,weeks_3
"""The Chipmunk Song""
","The Chipmunks with David Seville
","January 5
 1959",,,2,,
"""Smoke Gets in Your Eyes""
","The Platters
","January 19
 1959",,,3,,
"""Stagger Lee""
","Lloyd Price
","February 9
 1959",,,4,,
"""Venus""
","Frankie Avalon
","March 9
 1959",,,5,,
"""Come Softly to Me""
","The Fleetwoods
","April 13
 1959",,,4,,
"""The Happy Organ""
","Dave ""Baby"" Cortez
","May 11
 1959",,,1,,
"""Kansas City""
","Wilbert Harrison
","May 18
 1959",,,2,,
"""The Battle of New Orleans""
","Johnny Horton
","June 1
 1959",,,6,,
"""Lonely Boy""
","Paul Anka
","July 13
 1959",,,4,,
"""A Big Hunk o' Love""
","Elvis Presley
","August 10
 1959",,,2,,
"""The Three Bells""
","The Browns
","August 24
 1959",,,4,,
"""Sleep Walk""
","Santo & Johnny
","September 21
 1959",,,2,,
"""Mack the Knife""
","Bobby Darin
","October 5
 1959","November 23
 1959",,6,3,
"""Mr. Blue""
","The Fleetwoods
","November 16
 1959",,,1,,
"""Heartaches by the Number""
","Guy Mitchell
","December 14
 1959",,,2,,
"""Why""
","Frankie Avalon
","December 28
 1959",,,1,,
"""El Paso""
","Marty Robbins
","January 4
 1960",,,2,,
"""Running Bear""
","Johnny Preston
","January 18
 1960",,,3,,
"""Teen Angel""
","Mark Dinning
","February 8
 1960",,,2,,
"""Theme from A Summer Place""
","Percy Faith
","February 22
 1960",,,9,,
"""Stuck on You""
","Elvis Presley
","April 25
 1960",,,4,,
"""Cathy's Clown""
","The Everly Brothers
","May 23
 1960",,,5,,
"""Everybody's Somebody's Fool""
","Connie Francis
","June 27
 1960",,,2,,
"""Alley Oop""
","Hollywood Argyles
","July 11
 1960",,,1,,
"""I'm Sorry""
","Brenda Lee
","July 18
 1960",,,3,,
"""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini""
","Brian Hyland
","August 8
 1960",,,1,,
"""It's Now or Never""
","Elvis Presley
","August 15
 1960",,,5,,
"""The Twist""
","Chubby Checker
","September 19
 1960","January 13
 1962",,1,2,
"""My Heart Has a Mind of Its Own""
","Connie Francis
","September 26
 1960",,,2,,
"""Mr. Custer""
","Larry Verne
","October 10
 1960",,,1,,
"""Save the Last Dance for Me""
","The Drifters
","October 17
 1960","October 31
 1960",,1,2,
"""I Want to Be Wanted""
","Brenda Lee
","October 24
 1960",,,1,,
"""Georgia on My Mind""
","Ray Charles
","November 14
 1960",,,1,,
"""Stay""
","Maurice Williams and the Zodiacs
","November 21
 1960",,,1,,
"""Are You Lonesome Tonight?""
","Elvis Presley
","November 28
 1960","January 2
 1961",,5,1,
"""Wonderland by Night""
","Bert Kaempfert
","January 9
 1961",,,3,,
"""Will You Love Me Tomorrow""
","The Shirelles
","January 30
 1961",,,2,,
"""Calcutta""
","Lawrence Welk
","February 13
 1961",,,2,,
"""Pony Time""
","Chubby Checker
","February 27
 1961",,,3,,
"""Surrender""
","Elvis Presley
","March 20
 1961",,,2,,
"""Blue Moon""
","The Marcels
","April 3
 1961",,,3,,
"""Runaway""
","Del Shannon
","April 24
 1961",,,4,,
"""Mother-in-Law""
","Ernie K-Doe
","May 22
 1961",,,1,,
"""Travelin' Man""
","Ricky Nelson
","May 29
 1961","June 12
 1961",,1,1,
"""Running Scared""
","Roy Orbison
","June 5
 1961",,,1,,
"""Moody River""
","Pat Boone
","June 19
 1961",,,1,,
"""Quarter to Three""
","U.S. Bonds
","June 26
 1961",,,2,,
"""Tossin' and Turnin'""
","Bobby Lewis
","July 10
 1961",,,7,,
"""Wooden Heart""
","Joe Dowell
","August 28
 1961",,,1,,
"""Michael""
","The Highwaymen
","September 4
 1961",,,2,,
"""Take Good Care of My Baby""
","Bobby Vee
","September 18
 1961",,,3,,
"""Hit the Road Jack""
","Ray Charles
","October 9
 1961",,,2,,
"""Runaround Sue""
","Dion
","October 23
 1961",,,2,,
"""Big Bad John""
","Jimmy Dean
","November 6
 1961",,,5,,
"""Please Mr. Postman""
","The Marvelettes
","December 11
 1961",,,1,,
"""The Lion Sleeps Tonight""
","The Tokens
","December 18
 1961",,,3,,
"""Peppermint Twist""
","Joey Dee and the Starliters
","January 27
 1962",,,3,,
"""Duke of Earl""
","Gene Chandler
","February 17
 1962",,,3,,
"""Hey! Baby""
","Bruce Channel
","March 10
 1962",,,3,,
"""Don't Break the Heart That Loves You""
","Connie Francis
","March 31
 1962",,,1,,
"""Johnny Angel""
","Shelley Fabares
","April 7
 1962",,,2,,
"""Good Luck Charm""
","Elvis Presley
","April 21
 1962",,,2,,
"""Soldier Boy""
","The Shirelles
","May 5
 1962",,,3,,
"""Stranger on the Shore""
","Mr. Acker Bilk
","May 26
 1962",,,1,,
"""I Can't Stop Loving You""
","Ray Charles
","June 2
 1962",,,5,,
"""The Stripper""
","David Rose
","July 7
 1962",,,1,,
"""Roses Are Red (My Love)""
","Bobby Vinton
","July 14
 1962",,,4,,
"""Breaking Up Is Hard to Do""
","Neil Sedaka
","August 11
 1962",,,2,,
"""The Loco-Motion""
","Little Eva
","August 25
 1962",,,1,,
"""Sheila""
","Tommy Roe
","September 1
 1962",,,2,,
"""Sherry""
","The Four Seasons
","September 15
 1962",,,5,,
"""Monster Mash""
","Bobby 'Boris' Pickett & the Crypt-Kickers
","October 20
 1962",,,2,,
"""He's a Rebel""
","The Crystals
","November 3
 1962",,,2,,
"""Big Girls Don't Cry""
","The Four Seasons
","November 17
 1962",,,5,,
"""Telstar""
","The Tornados
","December 22
 1962",,,3,,
"""Go Away Little Girl""
","Steve Lawrence
","January 12
 1963",,,2,,
"""Walk Right In""
","The Rooftop Singers
","January 26
 1963",,,2,,
"""Hey Paula""
","Paul & Paula
","February 9
 1963",,,3,,
"""Walk Like a Man""
","The Four Seasons
","March 2
 1963",,,3,,
"""Our Day Will Come""
","Ruby & the Romantics
","March 23
 1963",,,1,,
"""He's So Fine""
","The Chiffons
","March 30
 1963",,,4,,
"""I Will Follow Him""
","Little Peggy March
","April 27
 1963",,,3,,
"""If You Wanna Be Happy""
","Jimmy Soul
","May 18
 1963",,,2,,
"""It's My Party""
","Lesley Gore
","June 1
 1963",,,2,,
"""Sukiyaki""
","Kyu Sakamoto
","June 15
 1963",,,3,,
"""Easier Said Than Done""
","The Essex
","July 6
 1963",,,2,,
"""Surf City""
","Jan and Dean
","July 20
 1963",,,2,,
"""So Much in Love""
","The Tymes
","August 3
 1963",,,1,,
"""Fingertips Pt. 2""
","Little Stevie Wonder
","August 10
 1963",,,3,,
"""My Boyfriend's Back""
","The Angels
","August 31
 1963",,,3,,
"""Blue Velvet""
","Bobby Vinton
","September 21
 1963",,,3,,
"""Sugar Shack""
","Jimmy Gilmer and the Fireballs
","October 12
 1963",,,5,,
"""Deep Purple""
","Nino Tempo and April Stevens
","November 16
 1963",,,1,,
"""I'm Leaving It Up to You""
","Dale & Grace
","November 23
 1963",,,2,,
"""Dominique""
","The Singing Nun
","December 7
 1963",,,4,,
"""There! I've Said It Again""
","Bobby Vinton
","January 4
 1964",,,4,,
"""I Want to Hold Your Hand""
","The Beatles
","February 1
 1964",,,7,,
"""She Loves You""
","
","March 21
 1964",,,2,,
"""Can't Buy Me Love""
","
","April 4
 1964",,,5,,
"""Hello, Dolly!""
","Louis Armstrong
","May 9
 1964",,,1,,
"""My Guy""
","Mary Wells
","May 16
 1964",,,2,,
"""Love Me Do""
","The Beatles
","May 30
 1964",,,1,,
"""Chapel of Love""
","The Dixie Cups
","June 6
 1964",,,3,,
"""A World Without Love""
","Peter and Gordon
","June 27
 1964",,,1,,
"""I Get Around""
","The Beach Boys
","July 4
 1964",,,2,,
"""Rag Doll""
","The Four Seasons
","July 18
 1964",,,2,,
"""A Hard Day's Night""
","The Beatles
","August 1
 1964",,,2,,
"""Everybody Loves Somebody""
","Dean Martin
","August 15
 1964",,,1,,
"""Where Did Our Love Go""
","The Supremes
","August 22
 1964",,,2,,
"""The House of the Rising Sun""
","The Animals
","September 5
 1964",,,3,,
"""Oh, Pretty Woman""
","Roy Orbison
","September 26
 1964",,,3,,
"""Do Wah Diddy Diddy""
","Manfred Mann
","October 17
 1964",,,2,,
"""Baby Love""
","The Supremes
","October 31
 1964",,,4,,
"""Leader of the Pack""
","The Shangri-Las
","November 28
 1964",,,1,,
"""Ringo""
","Lorne Greene
","December 5
 1964",,,1,,
"""Mr. Lonely""
","Bobby Vinton
","December 12
 1964",,,1,,
"""Come See About Me""
","The Supremes
","December 19
 1964","January 16
 1965",,1,1,
"""I Feel Fine""
","The Beatles
","December 26
 1964",,,3,,
"""Downtown""
","Petula Clark
","January 23
 1965",,,2,,
"""You've Lost That Lovin' Feelin'""
","The Righteous Brothers
","February 6
 1965",,,2,,
"""This Diamond Ring""
","Gary Lewis & the Playboys
","February 20
 1965",,,2,,
"""My Girl""
","The Temptations
","March 6
 1965",,,1,,
"""Eight Days a Week""
","The Beatles
","March 13
 1965",,,2,,
"""Stop! In the Name of Love""
","The Supremes
","March 27
 1965",,,2,,
"""I'm Telling You Now""
","Freddie and the Dreamers
","April 10
 1965",,,2,,
"""Game of Love""
","Wayne Fontana and  the Mindbenders
","April 24
 1965",,,1,,
"""Mrs. Brown, You've Got a Lovely Daughter""
","Herman's Hermits
","May 1
 1965",,,3,,
"""Ticket to Ride""
","The Beatles
","May 22
 1965",,,1,,
"""Help Me, Rhonda""
","The Beach Boys
","May 29
 1965",,,2,,
"""Back in My Arms Again""
","The Supremes
","June 12
 1965",,,1,,
"""I Can't Help Myself (Sugar Pie Honey Bunch)""
","Four Tops
","June 19
 1965","July 3
 1965",,1,1,
"""Mr. Tambourine Man""
","The Byrds
","June 26
 1965",,,1,,
"""(I Can't Get No) Satisfaction""
","The Rolling Stones
","July 10
 1965",,,4,,
"""I'm Henry VIII, I Am""
","Herman's Hermits
","August 7
 1965",,,1,,
"""I Got You Babe""
","Sonny & Cher
","August 14
 1965",,,3,,
"""Help!""
","The Beatles
","September 4
 1965",,,3,,
"""Eve of Destruction""
","Barry McGuire
","September 25
 1965",,,1,,
"""Hang On Sloopy""
","The McCoys
","October 2
 1965",,,1,,
"""Yesterday""
","The Beatles
","October 9
 1965",,,4,,
"""Get Off of My Cloud""
","The Rolling Stones
","November 6
 1965",,,2,,
"""I Hear a Symphony""
","The Supremes
","November 20
 1965",,,2,,
"""Turn! Turn! Turn! (To Everything There Is a Season)""
","The Byrds
","December 4
 1965",,,3,,
"""Over and Over""
","The Dave Clark Five
","December 25
 1965",,,1,,
"""The Sound of Silence""
","Simon & Garfunkel
","January 1
 1966","January 22
 1966",,1,1,
"""We Can Work It Out""
","The Beatles
","January 8
 1966","January 29
 1966",,2,1,
"""My Love""
","Petula Clark
","February 5
 1966",,,2,,
"""Lightnin' Strikes""
","Lou Christie
","February 19
 1966",,,1,,
"""These Boots Are Made for Walkin'""
","Nancy Sinatra
","February 26
 1966",,,1,,
"""Ballad of the Green Berets""
","SSgt Barry Sadler
","March 5
 1966",,,5,,
"""(You're My) Soul and Inspiration""
","The Righteous Brothers
","April 9
 1966",,,3,,
"""Good Lovin'""
","The Young Rascals
","April 30
 1966",,,1,,
"""Monday, Monday""
","The Mamas & the Papas
","May 7
 1966",,,3,,
"""When a Man Loves a Woman""
","Percy Sledge
","May 28
 1966",,,2,,
"""Paint It Black""
","The Rolling Stones
","June 11
 1966",,,2,,
"""Paperback Writer""
","The Beatles
","June 25
 1966","July 9
 1966",,1,1,
"""Strangers in the Night""
","Frank Sinatra
","July 2
 1966",,,1,,
"""Hanky Panky""
","Tommy James and the Shondells
","July 16
 1966",,,2,,
"""Wild Thing""
","The Troggs
","July 30
 1966",,,2,,
"""Summer in the City""
","The Lovin' Spoonful
","August 13
 1966",,,3,,
"""Sunshine Superman""
","Donovan
","September 3
 1966",,,1,,
"""You Can't Hurry Love""
","The Supremes
","September 10
 1966",,,2,,
"""Cherish""
","The Association
","September 24
 1966",,,3,,
"""Reach Out I'll Be There""
","Four Tops
","October 15
 1966",,,2,,
"""96 Tears""
","? and the Mysterians
","October 29
 1966",,,1,,
"""Last Train to Clarksville""
","The Monkees
","November 5
 1966",,,1,,
"""Poor Side of Town""
","Johnny Rivers
","November 12
 1966",,,1,,
"""You Keep Me Hangin' On""
","The Supremes
","November 19
 1966",,,2,,
"""Winchester Cathedral""
","The New Vaudeville Band
","December 3
 1966","December 17
 1966",,1,2,
"""Good Vibrations""
","The Beach Boys
","December 10
 1966",,,1,,
"""I'm a Believer""
","The Monkees
","December 31
 1966",,,7,,
"""Kind of a Drag""
","The Buckinghams
","February 18
 1967",,,2,,
"""Ruby Tuesday""
","The Rolling Stones
","March 4
 1967",,,1,,
"""Love Is Here and Now You're Gone""
","The Supremes
","March 11
 1967",,,1,,
"""Penny Lane""
","The Beatles
","March 18
 1967",,,1,,
"""Happy Together""
","The Turtles
","March 25
 1967",,,3,,
"""Somethin' Stupid""
","Nancy Sinatra and Frank Sinatra
","April 15
 1967",,,4,,
"""The Happening""
","The Supremes
","May 13
 1967",,,1,,
"""Groovin'""
","The Young Rascals
","May 20
 1967","June 17
 1967",,2,2,
"""Respect""
","Aretha Franklin
","June 3
 1967",,,2,,
"""Windy""
","The Association
","July 1
 1967",,,4,,
"""Light My Fire""
","The Doors
","July 29
 1967",,,3,,
"""All You Need Is Love""
","The Beatles
","August 19
 1967",,,1,,
"""Ode to Billie Joe""
","Bobbie Gentry
","August 26
 1967",,,4,,
"""The Letter""
","Box Tops
","September 23
 1967",,,4,,
"""To Sir With Love""
","Lulu
","October 21
 1967",,,5,,
"""Incense and Peppermints""
","Strawberry Alarm Clock
","November 25
 1967",,,1,,
"""Daydream Believer""
","The Monkees
","December 2
 1967",,,4,,
"""Hello, Goodbye""
","The Beatles
","December 30
 1967",,,3,,
"""Judy in Disguise (With Glasses)""
","John Fred and His Playboy Band
","January 20
 1968",,,2,,
"""Green Tambourine""
","The Lemon Pipers
","February 3
 1968",,,1,,
"""Love is Blue""
","Paul Mauriat
","February 10
 1968",,,5,,
"""(Sittin' On) The Dock of the Bay""
","Otis Redding
","March 16
 1968",,,4,,
"""Honey""
","Bobby Goldsboro
","April 13
 1968",,,5,,
"""Tighten Up""
","Archie Bell & the Drells
","May 18
 1968",,,2,,
"""Mrs. Robinson""
","Simon & Garfunkel
","June 1
 1968",,,3,,
"""This Guy's in Love with You""
","Herb Alpert
","June 22
 1968",,,4,,
"""Grazing in the Grass""
","Hugh Masekela
","July 20
 1968",,,2,,
"""Hello, I Love You""
","The Doors
","August 3
 1968",,,2,,
"""People Got to Be Free""
","The Rascals
","August 17
 1968",,,5,,
"""Harper Valley PTA""
","Jeannie C. Riley
","September 21
 1968",,,1,,
"""Hey Jude""
","The Beatles
","September 28
 1968",,,9,,
"""Love Child""
","Diana Ross & the Supremes
","November 30
 1968",,,2,,
"""I Heard It Through the Grapevine""
","Marvin Gaye
","December 14
 1968",,,7,,
"""Crimson and Clover""
","Tommy James and the Shondells
","February 1
 1969",,,2,,
"""Everyday People""
","Sly & the Family Stone
","February 15
 1969",,,4,,
"""Dizzy""
","Tommy Roe
","March 15
 1969",,,4,,
"""Aquarius/Let the Sunshine In (The Flesh Failures)""
","The 5th Dimension
","April 12
 1969",,,6,,
"""Get Back""
","The Beatles with Billy Preston
","May 24
 1969",,,5,,
"""Love Theme from Romeo and Juliet""
","Henry Mancini
","June 28
 1969",,,2,,
"""In the Year 2525 (Exordium and Terminus)""
","Zager and Evans
","July 12
 1969",,,6,,
"""Honky Tonk Women""
","The Rolling Stones
","August 23
 1969",,,4,,
"""Sugar, Sugar""
","The Archies
","September 20
 1969",,,4,,
"""I Can't Get Next to You""
","The Temptations
","October 18
 1969",,,2,,
"""Suspicious Minds""
","Elvis Presley
","November 1
 1969",,,1,,
"""Wedding Bell Blues""
","The 5th Dimension
","November 8
 1969",,,3,,
"""Come Together"" / ""Something""
","The Beatles
","November 29
 1969",,,1,,
"""Na Na Hey Hey Kiss Him Goodbye""
","Steam
","December 6
 1969",,,2,,
"""Leaving on a Jet Plane""
","Peter, Paul and Mary
","December 20
 1969",,,1,,
"""Someday We'll Be Together""
","Diana Ross & the Supremes
","December 27
 1969",,,1,,
"""Raindrops Keep Fallin' on My Head""
","B. J. Thomas
","January 3
 1970",,,4,,
"""I Want You Back""
","The Jackson 5
","January 31
 1970",,,1,,
"""Venus""
","Shocking Blue
","February 7
 1970",,,1,,
"""Thank You (Falettinme Be Mice Elf Agin)"" / ""Everybody Is a Star""
","Sly & the Family Stone
","February 14
 1970",,,2,,
"""Bridge over Troubled Water""
","Simon & Garfunkel
","February 28
 1970",,,6,,
"""Let It Be""
","The Beatles
","April 11
 1970",,,2,,
"""ABC""
","The Jackson 5
","April 25
 1970",,,2,,
"""American Woman"" / ""No Sugar Tonight""
","The Guess Who
","May 9
 1970",,,3,,
"""Everything Is Beautiful""
","Ray Stevens
","May 30
 1970",,,2,,
"""The Long and Winding Road"" / ""For You Blue""
","The Beatles
","June 13
 1970",,,2,,
"""The Love You Save""
","The Jackson 5
","June 27
 1970",,,2,,
"""Mama Told Me (Not to Come)""
","Three Dog Night
","July 11
 1970",,,2,,
"""(They Long to Be) Close to You""
","The Carpenters
","July 25
 1970",,,4,,
"""Make It with You""
","Bread
","August 22
 1970",,,1,,
"""War""
","Edwin Starr
","August 29
 1970",,,3,,
"""Ain't No Mountain High Enough""
","Diana Ross
","September 19
 1970",,,3,,
"""Cracklin' Rosie""
","Neil Diamond
","October 10
 1970",,,1,,
"""I'll Be There""
","The Jackson 5
","October 17
 1970",,,5,,
"""I Think I Love You""
","The Partridge Family
","November 21
 1970",,,3,,
"""The Tears of a Clown""
","Smokey Robinson & the Miracles
","December 12
 1970",,,2,,
"""My Sweet Lord"" / ""Isn't It a Pity""
","George Harrison
","December 26
 1970",,,4,,
"""Knock Three Times""
","Dawn
","January 23
 1971",,,3,,
"""One Bad Apple""
","The Osmonds
","February 13
 1971",,,5,,
"""Me and Bobby McGee""
","Janis Joplin
","March 20
 1971",,,2,,
"""Just My Imagination (Running Away with Me)""
","The Temptations
","April 3
 1971",,,2,,
"""Joy to the World""
","Three Dog Night
","April 17
 1971",,,6,,
"""Brown Sugar""
","The Rolling Stones
","May 29
 1971",,,2,,
"""Want Ads""
","Honey Cone
","June 12
 1971",,,1,,
"""It's Too Late"" / ""I Feel the Earth Move""
","Carole King
","June 19
 1971",,,5,,
"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""
","The Raiders
","July 24
 1971",,,1,,
"""You've Got a Friend""
","James Taylor
","July 31
 1971",,,1,,
"""How Can You Mend a Broken Heart""
","Bee Gees
","August 7
 1971",,,4,,
"""Uncle Albert/Admiral Halsey""
","Paul & Linda McCartney
","September 4
 1971",,,1,,
"""Go Away Little Girl""
","Donny Osmond
","September 11
 1971",,,3,,
"""Maggie May"" / ""Reason to Believe""
","Rod Stewart
","October 2
 1971",,,5,,
"""Gypsys, Tramps & Thieves""
","Cher
","November 6
 1971",,,2,,
"""Theme from Shaft""
","Isaac Hayes
","November 20
 1971",,,2,,
"""Family Affair""
","Sly and the Family Stone
","December 4
 1971",,,3,,
"""Brand New Key""
","Melanie
","December 25
 1971",,,3,,
"""American Pie""
","Don McLean
","January 15
 1972",,,4,,
"""Let's Stay Together""
","Al Green
","February 12
 1972",,,1,,
"""Without You""
","Nilsson
","February 19
 1972",,,4,,
"""Heart of Gold""
","Neil Young
","March 18
 1972",,,1,,
"""A Horse with No Name""
","America
","March 25
 1972",,,3,,
"""The First Time Ever I Saw Your Face""
","Roberta Flack
","April 15
 1972",,,6,,
"""Oh Girl""
","The Chi-Lites
","May 27
 1972",,,1,,
