title,artists,entry_1,entry_2,entry_3,weeks_1,weeks_2,weeks_3
"""You're Makin' Me High"" / ""Let It Flow""
","Toni Braxton
","July 27
 1996",,,1,,
"""Macarena"" (Bayside Boys Mix)
","Los Del Rio
","August 3
 1996",,,14,,
"""No Diggity""
","Blackstreet featuring Dr. Dre
","November 9
 1996",,,4,,
"""Un-Break My Heart""
","Toni Braxton
","December 7
 1996",,,11,,
"""Wannabe""
","Spice Girls
","February 22
 1997",,,4,,
"""Can't Nobody Hold Me Down""
","Puff Daddy featuring Mase
","March 22
 1997",,,6,,
"""Hypnotize""
","The Notorious B.I.G.
","May 3
 1997",,,3,,
"""MMMBop""
","Hanson
","May 24
 1997",,,3,,
"""I'll Be Missing You""
","Puff Daddy and Faith Evans featuring 112
","June 14
 1997",,,11,,
"""Mo Money Mo Problems""
","The Notorious B.I.G. featuring Puff Daddy and Mase
","August 30
 1997",,,2,,
"""Honey""
","Mariah Carey
","September 13
 1997",,,3,,
"""4 Seasons of Loneliness""
","Boyz II Men
","October 4
 1997",,,1,,
"""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""
","Elton John
","October 11
 1997",,,12,,
"""Something About the Way You Look Tonight"" / ""Candle in the Wind 1997""
","Elton John
","January 3
 1998",,,2,,
"""Truly Madly Deeply""
","Savage Garden
","January 17
 1998",,,2,,
"""Together Again""
","Janet
","January 31
 1998",,,2,,
"""Nice & Slow""
","Usher
","February 14
 1998",,,2,,
"""My Heart Will Go On""
","Céline Dion
","February 28
 1998",,,2,,
"""Gettin' Jiggy wit It”
","Will Smith
","March 14
 1998",,,3,,
"""All My Life""
","K-Ci & JoJo
","April 4
 1998",,,3,,
"""Too Close""
","Next
","April 25
 1998","May 30
 1998",,4,1,
"""My All""
","Mariah Carey
","May 23
 1998",,,1,,
"""The Boy Is Mine""
","Brandy and Monica
","June 6
 1998",,,13,,
"""I Don't Want to Miss a Thing""
","Aerosmith
","September 5
 1998",,,4,,
"""The First Night""
","Monica
","October 3
 1998","October 24
 1998",,2,3,
"""One Week""
","Barenaked Ladies
","October 17
 1998",,,1,,
"""Doo Wop (That Thing)""
","Lauryn Hill
","November 14
 1998",,,2,,
"""Lately""
","Divine
","November 28
 1998",,,1,,
"""I'm Your Angel""
","R. Kelly and Céline Dion
","December 5
 1998",,,6,,
"""Have You Ever?""
","Brandy
","January 16
 1999",,,2,,
"""...Baby One More Time""
","Britney Spears
","January 30
 1999",,,2,,
"""Angel of Mine""
","Monica
","February 13
 1999",,,4,,
"""Believe""
","Cher
","March 13
 1999",,,4,,
"""No Scrubs""
","TLC
","April 10
 1999",,,4,,
"""Livin' la Vida Loca""
","Ricky Martin
","May 8
 1999",,,5,,
"""If You Had My Love""
","Jennifer Lopez
","June 12
 1999",,,5,,
"""Bills, Bills, Bills""
","Destiny's Child
","July 17
 1999",,,1,,
"""Wild Wild West""
","Will Smith featuring Dru Hill and Kool Moe Dee
","July 24
 1999",,,1,,
"""Genie in a Bottle""
","Christina Aguilera
","July 31
 1999",,,5,,
"""Bailamos""
","Enrique Iglesias
","September 4
 1999",,,2,,
"""Unpretty""
","TLC
","September 18
 1999",,,3,,
"""Heartbreaker""
","Mariah Carey featuring Jay-Z
","October 9
 1999",,,2,,
"""Smooth""
","Santana featuring Rob Thomas
","October 23
 1999","January 1
 2000",,10,2,
"""What a Girl Wants""
","Christina Aguilera
","January 15
 2000",,,2,,
"""I Knew I Loved You""
","Savage Garden
","January 29
 2000","February 26
 2000",,3,1,
"""Thank God I Found You""
","Mariah Carey featuring Joe and 98 Degrees
","February 19
 2000",,,1,,
"""Amazed""
","Lonestar
","March 4
 2000",,,2,,
"""Say My Name""
","Destiny's Child
","March 18
 2000",,,3,,
"""Maria Maria""
","Santana featuring The Product G&B
","April 8
 2000",,,10,,
"""Try Again""
","Aaliyah
","June 17
 2000",,,1,,
"""Be with You""
","Enrique Iglesias
","June 24
 2000",,,3,,
"""Everything You Want""
","Vertical Horizon
","July 15
 2000",,,1,,
"""Bent""
","Matchbox Twenty
","July 22
 2000",,,1,,
"""It's Gonna Be Me""
","NSYNC
","July 29
 2000",,,2,,
"""Incomplete""
","Sisqó
","August 12
 2000",,,2,,
"""Doesn't Really Matter""
","Janet
","August 26
 2000",,,3,,
"""Music""
","Madonna
","September 16
 2000",,,4,,
"""Come on Over Baby (All I Want Is You)""
","Christina Aguilera
","October 14
 2000",,,4,,
"""With Arms Wide Open""
","Creed
","November 11
 2000",,,1,,
"""Independent Women Part I""
","Destiny's Child
","November 18
 2000","January 6
 2001",,7,4,
"""It Wasn't Me""
","Shaggy featuring Ricardo ""RikRok"" Ducent
","February 3
 2001",,,2,,
"""Ms. Jackson""
","OutKast
","February 17
 2001",,,1,,
"""Stutter""
","Joe featuring Mystikal
","February 24
 2001",,,4,,
"""Butterfly""
","Crazy Town
","March 24
 2001","April 7
 2001",,1,1,
"""Angel""
","Shaggy featuring Rayvon
","March 31
 2001",,,1,,
"""All for You""
","Janet
","April 14
 2001",,,7,,
"""Lady Marmalade""
","Christina Aguilera, Lil' Kim, Mýa and Pink
","June 2
 2001",,,5,,
"""U Remind Me""
","Usher
","July 7
 2001",,,4,,
"""Bootylicious""
","Destiny's Child
","August 4
 2001",,,2,,
"""Fallin'""
","Alicia Keys
","August 18
 2001","September 29
 2001",,3,3,
"""I'm Real (Murder Remix)""
","Jennifer Lopez featuring Ja Rule
","September 8
 2001","October 20
 2001",,3,2,
"""Family Affair""
","Mary J. Blige
","November 3
 2001",,,6,,
"""U Got It Bad""
","Usher
","December 15
 2001","January 19
 2002",,1,5,
"""How You Remind Me""
","Nickelback
","December 22
 2001",,,4,,
"""Always on Time""
","Ja Rule featuring Ashanti
","February 23
 2002",,,2,,
"""Ain't It Funny""
","Jennifer Lopez featuring Ja Rule
","March 9
 2002",,,6,,
"""Foolish""
","Ashanti
","April 20
 2002",,,10,,
"""Hot in Herre""
","Nelly
","June 29
 2002",,,7,,
"""Dilemma""
","Nelly featuring Kelly Rowland
","August 17
 2002","October 19
 2002",,7,3,
"""A Moment Like This""
","Kelly Clarkson
","October 5
 2002",,,2,,
"""Lose Yourself""
","Eminem
","November 9
 2002","January 4
 2003",,8,4,
"""Bump, Bump, Bump""
","B2K featuring P. Diddy
","February 1
 2003",,,1,,
"""All I Have""
","Jennifer Lopez featuring LL Cool J
","February 8
 2003",,,4,,
"""In da Club""
","50 Cent
","March 8
 2003",,,9,,
"""Get Busy""
","Sean Paul
","May 10
 2003",,,3,,
"""21 Questions""
","50 Cent featuring Nate Dogg
","May 31
 2003",,,4,,
"""This Is the Night""
","Clay Aiken
","June 28
 2003",,,2,,
"""Crazy in Love""
","Beyoncé featuring Jay-Z
","July 12
 2003",,,8,,
"""Shake Ya Tailfeather""
","Nelly, P. Diddy and Murphy Lee
","September 6
 2003",,,4,,
"""Baby Boy""
","Beyoncé featuring Sean Paul
","October 4
 2003",,,9,,
"""Stand Up""
","Ludacris featuring Shawnna
","December 6
 2003",,,1,,
"""Hey Ya!""
","OutKast
","December 13
 2003",,,9,,
"""The Way You Move""
","OutKast featuring Sleepy Brown
","February 14
 2004",,,1,,
"""Slow Jamz""
","Twista featuring Kanye West and Jamie Foxx
","February 21
 2004",,,1,,
"""Yeah!""
","Usher featuring Lil Jon and Ludacris
","February 28
 2004",,,12,,
"""Burn""
","Usher
","May 22
 2004","July 17
 2004",,7,1,
"""I Believe""
","Fantasia
","July 10
 2004",,,1,,
"""Confessions Part II""
","[39]
","July 24
 2004",,,2,,
"""Slow Motion""
","Juvenile featuring Soulja Slim
","August 7
 2004",,,2,,
"""Lean Back""
","Terror Squad
","August 21
 2004",,,3,,
"""Goodies""
","Ciara featuring Petey Pablo
","September 11
 2004",,,7,,
"""My Boo""
","Usher and Alicia Keys
","October 30
 2004",,,6,,
"""Drop It Like It's Hot""
","Snoop Dogg featuring Pharrell
","December 11
 2004",,,3,,
"""Let Me Love You""
","Mario
","January 1
 2005",,,9,,
"""Candy Shop""
","50 Cent featuring Olivia
","March 5
 2005",,,9,,
"""Hollaback Girl""
","Gwen Stefani
","May 7
 2005",,,4,,
"""We Belong Together""
","Mariah Carey
","June 4
 2005","July 9
 2005",,4,10,
"""Inside Your Heaven""
","Carrie Underwood
","July 2
 2005",,,1,,
"""Gold Digger""
","Kanye West featuring Jamie Foxx
","September 17
 2005",,,10,,
"""Run It!""
","Chris Brown
","November 26
 2005",,,5,,
"""Don't Forget About Us""
","Mariah Carey
","December 31
 2005",,,2,,
"""Laffy Taffy""
","D4L
","January 14
 2006",,,1,,
"""Grillz""
","Nelly featuring Paul Wall, Ali & Gipp
","January 21
 2006",,,2,,
"""Check on It""
","Beyoncé featuring Slim Thug
","February 4
 2006",,,5,,
"""You're Beautiful""
","James Blunt
","March 11
 2006",,,1,,
"""So Sick""
","Ne-Yo
","March 18
 2006",,,2,,
"""Temperature""
","Sean Paul
","April 1
 2006",,,1,,
"""Bad Day""
","Daniel Powter
","April 8
 2006",,,5,,
"""SOS""
","Rihanna
","May 13
 2006",,,3,,
"""Ridin'""
","Chamillionaire featuring Krayzie Bone
","June 3
 2006",,,2,,
"""Hips Don't Lie""
","Shakira featuring Wyclef Jean
","June 17
 2006",,,2,,
"""Do I Make You Proud""
","Taylor Hicks
","July 1
 2006",,,1,,
"""Promiscuous""
","Nelly Furtado featuring Timbaland
","July 8
 2006",,,6,,
"""London Bridge""
","Fergie
","August 19
 2006",,,3,,
"""SexyBack""
","Justin Timberlake
","September 9
 2006",,,7,,
"""Money Maker""
","Ludacris featuring Pharrell
","October 28
 2006",,,2,,
"""My Love""
","Justin Timberlake featuring T.I.
","November 11
 2006",,,3,,
"""I Wanna Love You""
","Akon featuring Snoop Dogg
","December 2
 2006",,,2,,
"""Irreplaceable""
","Beyoncé
","December 16
 2006",,,10,,
"""Say It Right""
","Nelly Furtado
","February 24
 2007",,,1,,
"""What Goes Around...Comes Around""
","Justin Timberlake
","March 3
 2007",,,1,,
"""This Is Why I'm Hot""
","Mims
","March 10
 2007",,,2,,
"""Glamorous""
","Fergie featuring Ludacris
","March 24
 2007",,,2,,
"""Don't Matter""
","Akon
","April 7
 2007",,,2,,
"""Give It to Me""
","Timbaland featuringNelly Furtado and Justin Timberlake
","April 21
 2007",,,2,,
"""Girlfriend""
","Avril Lavigne
","May 5
 2007",,,1,,
"""Makes Me Wonder""
","Maroon 5
","May 12
 2007","June 2
 2007",,2,1,
"""Buy U a Drank (Shawty Snappin')""
","T-Pain featuring Yung Joc
","May 26
 2007",,,1,,
"""Umbrella""
","Rihanna featuring Jay-Z
","June 9
 2007",,,7,,
"""Hey There Delilah""
","Plain White T's
","July 28
 2007",,,2,,
"""Beautiful Girls""
","Sean Kingston
","August 11
 2007",,,4,,
"""Big Girls Don't Cry""
","Fergie
","September 8
 2007",,,1,,
"""Crank That (Soulja Boy)""
","Soulja Boy Tell 'Em
","September 15
 2007","October 6
 2007",,2,5,
"""Stronger""
","Kanye West
","September 29
 2007",,,1,,
"""Kiss Kiss""
","Chris Brown featuring T-Pain
","November 10
 2007",,,3,,
"""No One""
","Alicia Keys
","December 1
 2007",,,5,,
"""Low""
","Flo Rida featuring T-Pain
","January 5
 2008",,,10,,
"""Love in This Club""
","Usher featuring Young Jeezy
","March 15
 2008",,,3,,
"""Bleeding Love""
","Leona Lewis
","April 5
 2008","April 26
 2008","May 10
 2008",1,1,2
"""Touch My Body""
","Mariah Carey
","April 12
 2008",,,2,,
"""Lollipop""
","Lil Wayne featuring Static Major
","May 3
 2008","May 31
 2008",,1,4,
"""Take a Bow""
","Rihanna
","May 24
 2008",,,1,,
"""Viva la Vida""
","Coldplay
","June 28
 2008",,,1,,
"""I Kissed a Girl""
","Katy Perry
","July 5
 2008",,,7,,
"""Disturbia""
","Rihanna
","August 23
 2008",,,2,,
"""Whatever You Like""
","T.I.
","September 6
 2008","October 4
 2008","November 1
 2008",3,2,2
"""So What""
","Pink
","September 27
 2008",,,1,,
"""Live Your Life""
","T.I. featuring Rihanna
","October 18
 2008","November 15
 2008","December 20
 2008",1,4,1
"""Womanizer""
","Britney Spears
","October 25
 2008",,,1,,
"""Single Ladies (Put a Ring on It)""
","Beyoncé
","December 13
 2008","December 27
 2008",,1,3,
"""Just Dance""
","Lady Gaga featuring Colby O'Donis
","January 17
 2009",,,3,,
"""My Life Would Suck Without You""
","Kelly Clarkson
","February 7
 2009",,,2,,
"""Crack a Bottle""
","Eminem, Dr. Dre and 50 Cent
","February 21
 2009",,,1,,
"""Right Round""
","Flo Rida
","February 28
 2009",,,6,,
"""Poker Face""
","Lady Gaga
","April 11
 2009",,,1,,
"""Boom Boom Pow""
","The Black Eyed Peas
","April 18
 2009",,,12,,
"""I Gotta Feeling""
","[35]
","July 11
 2009",,,14,,
"""Down""
","Jay Sean featuring Lil Wayne
","October 17
 2009","October 31
 2009",,1,1,
"""3""
","Britney Spears
","October 24
 2009",,,1,,
"""Fireflies""
","Owl City
","November 7
 2009","November 21
 2009",,1,1,
"""Whatcha Say""
","Jason Derulo
","November 14
 2009",,,1,,
"""Empire State of Mind""
","Jay-Z and Alicia Keys
","November 28
 2009",,,5,,
"""Tik Tok""
","Kesha
","January 2
 2010",,,9,,
"""Imma Be""
","The Black Eyed Peas
","March 6
 2010",,,2,,
"""Break Your Heart""
","Taio Cruz featuring Ludacris
","March 20
 2010",,,1,,
"""Rude Boy""
","Rihanna
","March 27
 2010",,,5,,
"""Nothin' on You""
","B.o.B featuring Bruno Mars
","May 1
 2010",,,2,,
"""OMG""
","Usher featuring will.i.am
","May 15
 2010","May 29
 2010",,1,3,
"""Not Afraid""
","Eminem
","May 22
 2010",,,1,,
"""California Gurls""
","Katy Perry featuring Snoop Dogg
","June 19
 2010",,,6,,
"""Love the Way You Lie""
","Eminem featuring Rihanna
","July 31
 2010",,,7,,
"""Teenage Dream""
","Katy Perry
","September 18
 2010",,,2,,
"""Just the Way You Are""
","Bruno Mars
","October 2
 2010",,,4,,
"""Like a G6""
","Far East Movement featuring The Cataracs and Dev
","October 30
 2010","November 27
 2010",,2,1,
"""We R Who We R""
","Kesha
","November 13
 2010",,,1,,
"""What's My Name?""
","Rihanna featuring Drake
","November 20
 2010",,,1,,
"""Only Girl (In the World)""
","Rihanna
","December 4
 2010",,,1,,
"""Raise Your Glass""
","Pink
","December 11
 2010",,,1,,
"""Firework""
","Katy Perry
","December 18
 2010",,January 15 2011,3,,1
"""Grenade""
","Bruno Mars
",January 8 2011,January 22 2011,February 5 2011,1,1,2
"""Hold It Against Me""
","Britney Spears
",January 29 2011,,,1,,
"""Black and Yellow""
","Wiz Khalifa
",February 19 2011,,,1,,
"""Born This Way""
","Lady Gaga
",February 26 2011,,,6,,
"""E.T.""
","Katy Perry featuring Kanye West
",April 9 2011,May 7 2011,,3,2,
"""S&M""
","Rihanna featuring Britney Spears[25]
",April 30 2011,,,1,,
"""Rolling in the Deep""
","Adele
",May 21 2011,,,7,,
"""Give Me Everything""
","Pitbull featuring Ne-Yo, Afrojack and Nayer
",July 9 2011,,,1,,
"""Party Rock Anthem""
","LMFAO featuring Lauren Bennett and GoonRock
",July 16 2011,,,6,,
"""Last Friday Night (T.G.I.F.)""
","Katy Perry
",August 27 2011,,,2,,
"""Moves Like Jagger""
","Maroon 5 featuring Christina Aguilera
",September 10 2011,September 24 2011,,1,3,
"""Someone Like You""
","Adele
",September 17 2011,October 15 2011,,1,4,
"""We Found Love""
","Rihanna featuring Calvin Harris
",November 12 2011,"January 21
 2012",,8,2,
"""Sexy and I Know It""
","LMFAO
","January 7
 2012",,,2,,
"""Set Fire to the Rain""
","Adele
","February 4
 2012",,,2,,
"""Stronger (What Doesn't Kill You)""
","Kelly Clarkson
","February 18
 2012","March 10
 2012",,2,1,
"""Part of Me""
","Katy Perry
","March 3
 2012",,,1,,
"""We Are Young""
","Fun featuring Janelle Monáe
","March 17
 2012",,,6,,
"""Somebody That I Used to Know""
","Gotye featuring Kimbra
","April 28
 2012",,,8,,
"""Call Me Maybe""
","Carly Rae Jepsen
","June 23
 2012",,,9,,
"""Whistle""
","Flo Rida
","August 25
 2012","September 15
 2012",,1,1,
"""We Are Never Ever Getting Back Together""
","Taylor Swift
","September 1
 2012","September 22
 2012",,2,1,
"""One More Night""
","Maroon 5
","September 29
 2012",,,9,,
"""Diamonds""
","Rihanna
","December 1
 2012",,,3,,
"""Locked Out of Heaven""
","Bruno Mars
","December 22
 2012",,,6,,
"""Thrift Shop"" [4]
","Macklemore & Ryan Lewis featuring Wanz
","February 2
 2013","April 6
 2013",,4,2,
"""Harlem Shake""
","Baauer
","March 2
 2013",,,5,,
"""When I Was Your Man""
","Bruno Mars
","April 20
 2013",,,1,,
"""Just Give Me a Reason""
","Pink featuring Nate Ruess
","April 27
 2013",,,3,,
"""Can't Hold Us""
","Macklemore & Ryan Lewis featuring Ray Dalton
","May 18
 2013",,,5,,
"""Blurred Lines""
","Robin Thicke featuring T.I. and Pharrell
","June 22
 2013",,,12,,
"""Roar""
","Katy Perry
","September 14
 2013",,,2,,
"""Wrecking Ball""
","Miley Cyrus
","September 28
 2013","December 14
 2013",,2,1,
"""Royals""
","Lorde
","October 12
 2013",,,9,,
"""The Monster""
","Eminem featuring Rihanna
","December 21
 2013",,,4,,
"""Timber""
","Pitbull featuring Kesha
","January 18
 2014",,,3,,
"""Dark Horse""
","Katy Perry featuring Juicy J
","February 8
 2014",,,4,,
"""Happy"" [1]
","Pharrell Williams
","March 8
 2014",,,10,,
"""All of Me""
","John Legend
","May 17
 2014",,,3,,
"""Fancy""
","Iggy Azalea featuring Charli XCX
","June 7
 2014",,,7,,
"""Rude""
","Magic!
","July 26
 2014",,,6,,
"""Shake It Off""
","Taylor Swift
","September 6
 2014","November 15
 2014",,2,2,
"""All About That Bass""
","Meghan Trainor
","September 20
 2014",,,8,,
"""Blank Space""
","Taylor Swift
","November 29
 2014","January 3
 2015",,5,2,
"""Uptown Funk"" 
","Mark Ronson featuring Bruno Mars
","January 17
 2015",,,14,,
"""See You Again""
","Wiz Khalifa featuring Charlie Puth
","April 25
 2015","June 13
 2015",,6,6,
"""Bad Blood""
","Taylor Swift featuring Kendrick Lamar
","June 6
 2015",,,1,,
"""Cheerleader""
","Omi
","July 25
 2015","August 29
 2015",,4,2,
"""Can't Feel My Face""
","The Weeknd
","August 22
 2015","September 12
 2015","September 26
 2015",1,1,1
"""What Do You Mean?""
","Justin Bieber
","September 19
 2015",,,1,,
"""The Hills""
","[42]
","October 3
 2015",,,6,,
"""Hello""
","Adele
","November 14
 2015","January 2
 2016",,7,3,
"""Sorry""
","Justin Bieber
","January 23
 2016",,,3,,
"""Love Yourself"" 
","Justin Bieber
","February 13
 2016","February 27
 2016",,1,1,
"""Pillowtalk""
","Zayn
","February 20
 2016",,,1,,
"""Work""
","Rihanna featuring Drake
","March 5
 2016",,,9,,
"""Panda""
","Desiigner
","May 7
 2016",,,2,,
"""One Dance""
","Drake featuring Wizkid and Kyla
","May 21
 2016","June 4
 2016",,1,9,
"""Can't Stop the Feeling!""
","Justin Timberlake
","May 28
 2016",,,1,,
"""Cheap Thrills""
","Sia featuring Sean Paul
","August 6
 2016",,,4,,
"""Closer""
","The Chainsmokers featuring Halsey
","September 3
 2016",,,12,,
"""Black Beatles""
","Rae Sremmurd featuring Gucci Mane
","November 26
 2016","January 14
 2017",,6,1,
"""Starboy""
","The Weeknd featuring Daft Punk
","January 7
 2017",,,1,,
"""Bad and Boujee""
","Migos featuring Lil Uzi Vert
","January 21
 2017","February 4
 2017",,1,2,
"""Shape of You"" 
","Ed Sheeran
","January 28
 2017","February 18
 2017",,1,11,
"""Humble""
","Kendrick Lamar
","May 6
 2017",,,1,,
"""That's What I Like""
","Bruno Mars
","May 13
 2017",,,1,,
"""I'm the One""
","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne
","May 20
 2017",,,1,,
"""Despacito""
","Luis Fonsi and Daddy Yankee featuring Justin Bieber
","May 27
 2017",,,16,,
"""Look What You Made Me Do""
","Taylor Swift
","September 16
 2017",,,3,,
"""Bodak Yellow""
","Cardi B
","October 7
 2017",,,3,,
"""Rockstar""
","Post Malone featuring 21 Savage
","October 28
 2017",,,8,,
